image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,error
1658.pgm,PPOCP-conservative,True,256,3392,-3136,112,0.0641180158593806,33.6932189928148,True,True,,
1658.pgm,Huynh-Nguyen-T5,True,256,1888,-1632,144,0.11176082531477476,32.601774298564116,True,True,,
1658.pgm,Dong-adaptive-conservative,True,256,296,-40,134,0.13074474774282455,32.91435123586854,True,True,l=6,
1669.pgm,PPOCP-conservative,True,256,3296,-3040,129,0.1782443803083041,33.079502116524125,True,True,,
1669.pgm,Huynh-Nguyen-T5,True,256,1856,-1600,121,0.3111451481710015,33.35754551635211,True,True,,
1669.pgm,Dong-adaptive-conservative,True,256,312,-56,118,0.2748679008059125,33.46657914645536,True,True,l=2,
1717.pgm,PPOCP-conservative,True,256,3288,-3032,141,0.06520238390339983,32.69320809296281,True,True,,
1717.pgm,Huynh-Nguyen-T5,True,256,1912,-1656,143,0.11123020773521831,32.632038844865995,True,True,,
1717.pgm,Dong-adaptive-conservative,True,256,320,-64,152,0.1276849712920748,32.36696334006889,True,True,l=1,
1722.pgm,PPOCP-conservative,True,256,256,0,122,103.44857729440231,33.321800912769135,True,True,,
1722.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
1722.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
1899.pgm,PPOCP-conservative,True,256,256,0,124,3.0887640251904265,33.251182367894266,True,True,,
1899.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
