image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,runtime_seconds,error
2702.pgm,PPOCP-conservative,True,512,400,112,266,2.16015723304475,29.936582853205948,True,True,,0.14600870001595467,
2702.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.8040695999516174,capacity below target
2702.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,75.42100370000117,l=1: Insufficient Dong excluding-mode capacity; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Insufficient Dong excluding-mode capacity; l=6: Dong location map contains unused marks; l=7: Insufficient Dong excluding-mode capacity; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
2732.pgm,ABM-enumerative,True,512,136,376,250,0.10443425572771037,30.205999132796236,True,True,,4.30855800001882,
2732.pgm,PPOCP-conservative,True,512,4784,-4272,263,0.05936816100460443,29.985841734619036,True,True,,0.10534360003657639,
2732.pgm,Huynh-Nguyen-T5,True,512,1896,-1384,238,0.09007817674717383,30.419629648951492,True,True,,1.512074200087227,
2732.pgm,Dong-adaptive-conservative,True,512,296,216,253,0.10759701539834887,30.154194007758438,True,True,l=9,39.3954143000301,
2738.pgm,ABM-enumerative,False,512,0,0,0,,,False,False,,1.3932866000104696,capacity below target
2738.pgm,PPOCP-conservative,True,512,264,248,239,5.066436469951297,30.401420210035237,True,True,,0.16165909997653216,
2738.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,1.0464668999193236,capacity below target
2738.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,46.855550899985246,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
2766.pgm,ABM-enumerative,True,512,608,-96,279,0.8562516028830067,29.72935718678064,True,True,,3.767479700036347,
2766.pgm,PPOCP-conservative,True,512,4408,-3896,263,0.6352082169147771,29.985841734619036,True,True,,0.07902619999367744,
2766.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.5762121999869123,capacity below target
